"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00099124","WARNER ROBINS, GA US","2020-01-01","0.00","0.0","0.0","58","36","46"
"USC00099124","WARNER ROBINS, GA US","2020-01-02","0.38","0.0","0.0","63","46","62"
"USC00099124","WARNER ROBINS, GA US","2020-01-03","0.75","0.0","0.0","77","46","60"
"USC00099124","WARNER ROBINS, GA US","2020-01-04","0.00","0.0","0.0","63","41","41"
"USC00099124","WARNER ROBINS, GA US","2020-01-05","0.00","0.0","0.0","56","33","40"
"USC00099124","WARNER ROBINS, GA US","2020-01-06","0.00","0.0","0.0","65","34","46"
"USC00099124","WARNER ROBINS, GA US","2020-01-07","0.00","0.0","0.0","62","43","43"
"USC00099124","WARNER ROBINS, GA US","2020-01-08","0.00","0.0","0.0","63","33","40"
"USC00099124","WARNER ROBINS, GA US","2020-01-09","0.00","0.0","0.0","66","34","60"
"USC00099124","WARNER ROBINS, GA US","2020-01-10","0.00","0.0","0.0","70","34","64"
"USC00099124","WARNER ROBINS, GA US","2020-01-11","1.38","0.0","0.0","71","34","64"
"USC00099124","WARNER ROBINS, GA US","2020-01-12","0.12","0.0","0.0","71","34","64"
"USC00099124","WARNER ROBINS, GA US","2020-01-13","0.06","0.0","0.0","70","62","65"
"USC00099124","WARNER ROBINS, GA US","2020-01-14","0.04","0.0","0.0","69","61","61"
"USC00099124","WARNER ROBINS, GA US","2020-01-15","0.00","0.0","0.0","72","60","64"
"USC00099124","WARNER ROBINS, GA US","2020-01-16","0.45","0.0","0.0","73","55","55"
"USC00099124","WARNER ROBINS, GA US","2020-01-17","0.00","0.0","0.0","60","46","47"
"USC00099124","WARNER ROBINS, GA US","2020-01-18","0.83","0.0","0.0","63","41","61"
"USC00099124","WARNER ROBINS, GA US","2020-01-19","0.00","0.0","0.0","63","39","39"
"USC00099124","WARNER ROBINS, GA US","2020-01-20","0.00","0.0","0.0","45","29","31"
"USC00099124","WARNER ROBINS, GA US","2020-01-21","0.00","0.0","0.0","43","26","29"
"USC00099124","WARNER ROBINS, GA US","2020-01-22","0.00","0.0","0.0","52","26","41"
"USC00099124","WARNER ROBINS, GA US","2020-01-23","0.45","0.0","0.0","53","40","49"
"USC00099124","WARNER ROBINS, GA US","2020-01-24","0.13","0.0","0.0","62","40","42"
"USC00099124","WARNER ROBINS, GA US","2020-01-25","0.00","0.0","0.0","54","37","39"
"USC00099124","WARNER ROBINS, GA US","2020-01-26","0.00","0.0","0.0","57","32","50"
"USC00099124","WARNER ROBINS, GA US","2020-01-27","0.00","0.0","0.0","53","43","43"
"USC00099124","WARNER ROBINS, GA US","2020-01-28","0.00","0.0","0.0","62","37","42"
"USC00099124","WARNER ROBINS, GA US","2020-01-29","0.10","0.0","0.0","51","39","45"
"USC00099124","WARNER ROBINS, GA US","2020-01-30","0.00","0.0","0.0","59","39","47"
"USC00099124","WARNER ROBINS, GA US","2020-01-31","1.00","0.0","0.0","48","41","41"
"USC00099124","WARNER ROBINS, GA US","2020-02-01","0.00",,,"49","40","43"
"USC00099124","WARNER ROBINS, GA US","2020-02-02","0.00",,,"62","38","44"
"USC00099124","WARNER ROBINS, GA US","2020-02-03","0.00",,,"74","38","54"
"USC00099124","WARNER ROBINS, GA US","2020-02-04","0.03",,,"71","50","62"
"USC00099124","WARNER ROBINS, GA US","2020-02-05","0.85",,,"72","59","64"
"USC00099124","WARNER ROBINS, GA US","2020-02-06","3.11",,,"75","57","57"
"USC00099124","WARNER ROBINS, GA US","2020-02-08","0.00",,,"50","32","39"
"USC00099124","WARNER ROBINS, GA US","2020-02-09","0.00",,,"59","34","49"
"USC00099124","WARNER ROBINS, GA US","2020-02-10","0.00",,,"68","43","66"
"USC00099124","WARNER ROBINS, GA US","2020-02-12","0.00",,,"73","60","67"
"USC00099124","WARNER ROBINS, GA US","2020-02-13","0.70",,,"73","48","48"
"USC00099124","WARNER ROBINS, GA US","2020-02-14","0.00",,,"61","39","40"
"USC00099124","WARNER ROBINS, GA US","2020-02-15","0.00",,,"60","35","44"
"USC00099124","WARNER ROBINS, GA US","2020-02-16","0.37",,,"47","43","47"
"USC00099124","WARNER ROBINS, GA US","2020-02-17","0.04",,,"55","46","55"
"USC00099124","WARNER ROBINS, GA US","2020-02-18","2.10",,,"63","55","55"
"USC00099124","WARNER ROBINS, GA US","2020-02-19","0.51",,,"65","51","51"
